,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn
90,6096,15697588,Hsia,579.0,France,Female,44.0,2,0.0,1,1,1,162478.01,0
91,69026,15683682,Calabrese,616.0,Spain,Female,37.0,3,0.0,2,1,0,65832.5,0
92,161425,15704769,T'ien,651.0,France,Male,36.0,4,0.0,2,1,0,91366.42,0
93,22128,15758032,Ch'eng,484.0,France,Female,38.0,5,0.0,2,1,0,57553.62,0
94,22747,15728773,Hsieh,568.0,France,Male,40.0,7,0.0,2,1,1,45978.39,0
95,155781,15716357,Corran,593.0,Spain,Female,39.0,4,122486.11,2,1,1,140709.25,0
96,74925,15677939,Ch'eng,511.0,France,Female,41.0,3,125739.26,1,1,1,181258.76,0
97,6965,15759874,Iadanza,731.0,France,Male,32.0,1,0.0,2,1,0,67578.62,0
98,79608,15661249,Bellucci,699.0,France,Male,32.0,8,0.0,2,1,1,111307.98,0
99,33132,15600692,Dickson,543.0,Germany,Female,29.0,8,83061.26,1,0,0,91408.12,0
100,151605,15756680,K?,695.0,France,Male,27.0,9,0.0,1,1,0,143096.49,0
101,105611,15750055,Hsing,758.0,France,Male,41.0,8,0.0,1,0,0,67749.71,1
102,41291,15658042,Onyekaozulu,567.0,Germany,Female,37.0,4,132837.51,1,1,0,173852.4,0
103,92097,15750574,Lumholtz,677.0,Germany,Female,34.0,4,0.0,2,1,1,6175.53,0
104,140477,15695819,H?,598.0,Spain,Male,41.0,1,0.0,1,1,0,141872.05,0
105,94215,15671139,Macleod,790.0,Germany,Male,46.0,1,108893.32,1,1,0,107890.91,1
106,3440,15807961,Tung,687.0,Germany,Female,38.0,4,133377.8,1,1,1,93568.77,0
107,32988,15756031,Trevisano,705.0,France,Male,45.0,1,0.0,1,1,1,81873.33,0
108,43906,15664504,T'an,579.0,France,Female,37.0,2,0.0,2,0,0,28238.67,0
109,91341,15686917,Nkemdilim,679.0,Spain,Female,36.0,6,0.0,1,1,0,53477.76,0
110,13768,15773096,Milani,624.0,France,Male,50.0,1,0.0,1,1,0,141364.62,1
111,94485,15588090,Ferri,542.0,France,Male,34.0,3,128743.55,1,1,0,140941.47,0
112,27343,15576824,Kennedy,564.0,Germany,Female,39.0,3,111760.4,3,1,1,104722.47,0
113,56566,15610165,Hsiung,488.0,France,Female,31.0,1,0.0,2,1,0,199409.19,0
114,24760,15592994,Yobachukwu,554.0,France,Male,43.0,5,0.0,2,1,0,160529.29,0
115,135537,15683972,McEwan,773.0,Spain,Male,41.0,1,0.0,1,1,0,171778.28,0
116,39008,15809836,Ting,703.0,France,Male,38.0,4,102773.35,1,0,1,137959.13,0
117,107674,15692235,Bellucci,642.0,France,Male,48.0,5,0.0,1,1,1,47764.99,0
118,135214,15574898,Chukwujamuike,705.0,France,Female,33.0,4,0.0,2,1,0,17095.49,0
119,91843,15761141,Kuo,735.0,Spain,Male,34.0,9,0.0,2,1,0,125939.22,0
120,125390,15641490,Ch'iu,684.0,Germany,Male,35.0,7,128743.69,2,1,1,168816.35,0
121,143066,15777892,Ogochukwu,741.0,France,Female,52.0,4,0.0,1,1,1,180712.52,0
122,51962,15637414,Gell,635.0,France,Female,33.0,5,128736.39,1,1,1,37147.61,0
123,77197,15701768,Tung,637.0,Germany,Female,31.0,4,97331.19,2,1,1,197827.06,0
124,8523,15632551,T'ang,599.0,France,Male,34.0,6,127864.4,1,1,0,79704.12,0
125,154267,15645956,Shao,704.0,France,Male,64.0,7,0.0,2,0,1,136330.32,0
126,142374,15594917,Onuchukwu,779.0,Germany,Female,40.0,7,129605.91,1,1,1,79928.51,0
127,102696,15625881,Yobanna,758.0,France,Female,35.0,4,0.0,2,1,1,126582.99,0
128,138695,15686099,Mancini,748.0,Germany,Male,47.0,1,61825.5,2,1,1,131238.37,0
129,107483,15747208,Li,535.0,France,Male,61.0,5,0.0,1,1,0,92621.9,1
130,97914,15674551,Ch'iu,561.0,France,Male,29.0,4,107879.03,1,1,1,171770.58,0
131,118457,15688074,Chinwendu,481.0,France,Female,32.0,9,0.0,2,1,0,24506.95,0
132,84404,15734987,Lettiere,528.0,Spain,Male,42.0,7,0.0,2,1,0,146680.39,1
133,107242,15658435,Ngozichukwuka,732.0,France,Female,61.0,6,0.0,2,1,1,130376.68,0
134,26664,15705034,Nkemjika,742.0,Spain,Female,29.0,7,133599.48,1,1,0,84872.66,0
135,98210,15642726,Holmes,611.0,France,Male,53.0,3,83568.55,1,0,0,1235.49,0
136,60218,15642835,Hsieh,743.0,France,Female,30.0,4,139855.21,1,1,0,181890.36,0
137,107053,15682355,Chukwueloka,589.0,Germany,Male,32.0,4,137986.95,1,1,0,162516.32,0
138,159972,15802220,Aksenov,808.0,France,Male,33.0,5,103516.87,2,1,0,113907.8,0
139,106357,15653710,Nkemjika,544.0,Germany,Male,29.0,6,147900.27,2,0,0,161446.29,0
140,79310,15741032,Tsou,615.0,France,Male,33.0,3,0.0,2,1,1,180150.44,0
141,51785,15709135,Pirozzi,691.0,Germany,Male,30.0,7,101231.77,2,0,0,156529.44,1
142,25487,15793317,Yermakova,747.0,France,Female,42.0,7,140700.61,2,1,0,179451.42,0
143,142991,15679820,K'ung,738.0,France,Male,34.0,8,0.0,2,0,1,136625.18,0
144,106125,15757566,Nwokezuike,521.0,Germany,Female,50.0,2,107946.3,3,1,0,166677.01,1
145,34583,15808846,Ch'ang,635.0,Germany,Female,50.0,5,133501.66,1,0,0,163840.09,1
146,20675,15682834,Elliott,689.0,Spain,Female,40.0,9,99816.46,1,1,1,163989.66,0
147,101790,15804950,Nebechukwu,751.0,Spain,Male,23.0,8,0.0,2,1,0,115818.51,0
148,29667,15672796,Tung,806.0,Spain,Male,44.0,6,0.0,2,1,0,171668.8,0
149,123146,15718247,Yashina,713.0,France,Male,42.0,6,0.0,2,0,1,147527.6,0
150,50452,15728017,Pirozzi,752.0,Spain,Male,37.0,4,0.0,2,0,0,80546.41,0
151,144661,15756021,Nwachukwu,651.0,France,Male,27.0,8,0.0,2,0,0,143317.31,0
152,50848,15671912,Wu,667.0,Spain,Male,37.0,4,0.0,2,0,1,103716.77,0
153,123622,15689341,Pinto,613.0,France,Male,44.0,2,0.0,2,1,1,125962.02,0
154,161973,15758513,Pisano,600.0,France,Female,72.0,4,0.0,2,1,1,123475.01,0
155,78828,15757837,Abbott,584.0,France,Male,33.0,2,90124.64,1,1,0,137476.09,1
156,88254,15709183,Goliwe,718.0,France,Male,40.0,1,0.0,1,1,0,53478.02,1
157,42947,15803654,Li,786.0,France,Male,43.0,0,0.0,2,1,0,183682.09,0
158,138194,15685893,Koo,724.0,France,Male,38.0,4,0.0,2,1,1,80190.36,0
159,21763,15586699,Thomson,825.0,France,Male,32.0,1,0.0,2,1,0,9751.03,0
160,119536,15677796,Becher,766.0,Germany,Male,31.0,9,129289.98,1,1,0,169935.46,0
161,76151,15583026,Welch,617.0,Germany,Female,29.0,0,117852.26,1,1,1,80425.65,0
162,156281,15746035,Atkins,714.0,France,Female,25.0,9,0.0,2,1,0,122021.33,0
163,164811,15673877,Ting,595.0,France,Female,38.0,9,0.0,2,1,0,61251.25,0
164,65126,15628139,Hsia,718.0,Spain,Female,32.0,5,97541.06,2,1,0,149583.61,0
165,7322,15759955,Chidumaga,771.0,France,Male,46.0,8,81811.71,1,0,0,120531.19,0
166,46360,15605059,Chidiebere,651.0,France,Male,41.0,7,0.0,2,1,0,23054.51,0
167,54537,15814519,Uspenskaya,705.0,France,Male,28.0,2,0.0,2,1,0,104217.96,0
168,19685,15593943,Ugochukwu,599.0,Germany,Female,27.0,2,81132.21,2,1,0,177092.16,0
169,156485,15757788,Macleod,589.0,France,Male,35.0,8,0.0,2,0,1,100919.39,0
170,162700,15783883,Toscani,756.0,Spain,Male,35.0,3,0.0,2,1,1,132424.69,0
171,120894,15706464,Tung,606.0,Germany,Female,41.0,3,107980.37,1,1,1,144874.67,1
172,81375,15775294,Nwankwo,579.0,France,Male,33.0,1,0.0,2,1,1,136491.24,0
173,152909,15625395,Chinomso,585.0,France,Female,56.0,4,105795.9,1,1,1,41219.09,1
174,85801,15705918,Chidozie,595.0,Germany,Female,39.0,3,117731.79,1,1,1,85983.54,1
175,3422,15813590,Chukwufumnanya,645.0,Germany,Male,28.0,4,151855.33,1,1,0,109733.73,0
176,24568,15636656,T'ien,576.0,Spain,Male,31.0,2,0.0,1,1,0,181758.21,0
177,143729,15636548,Yuan,505.0,Germany,Male,36.0,1,79951.9,1,0,1,174123.16,0
178,12521,15792668,Mao,584.0,Germany,Female,47.0,5,131778.08,1,1,0,8982.75,1
179,113849,15665062,Pirozzi,745.0,Germany,Female,42.0,3,114519.57,2,1,1,72994.61,0
180,108741,15752601,Lo Duca,725.0,Germany,Male,42.0,9,113496.01,1,1,0,150507.44,0
181,148818,15659567,Chiu,850.0,France,Male,33.0,1,0.0,2,1,1,45348.08,0
182,63591,15609823,Mai,685.0,Germany,Female,39.0,6,135071.12,2,1,0,180598.86,0
183,160992,15584536,Aksenov,706.0,France,Female,43.0,5,0.0,2,1,0,177099.71,0
184,12300,15582404,Nnachetam,663.0,France,Male,43.0,1,0.0,2,1,0,79078.25,0
185,53715,15771742,Hs?,705.0,France,Female,46.0,4,0.0,2,1,1,125979.36,0
186,68080,15604093,Fanucci,584.0,France,Male,37.0,2,0.0,2,1,0,62449.44,0
187,42350,15779983,Yobachi,683.0,Spain,Male,35.0,1,0.0,2,1,1,67739.96,0
188,44237,15767432,Ts'ai,711.0,France,Male,25.0,0,0.0,1,1,1,9679.28,0
189,8581,15743478,Zito,534.0,Germany,Male,28.0,8,127320.36,2,1,1,47775.34,0
190,104070,15756918,Mancini,584.0,Germany,Female,26.0,7,132452.04,2,1,0,133686.77,0
191,155050,15779522,Efimov,736.0,Germany,Female,24.0,0,120170.07,2,1,0,109355.73,0
192,47444,15701206,Bruce,589.0,France,Male,37.0,2,0.0,2,1,0,68985.99,0
193,163747,15615176,Lucchese,828.0,France,Female,24.0,8,92347.96,1,1,1,79577.3,0
194,133497,15641312,Kuo,539.0,Germany,Female,57.0,3,137891.35,1,1,0,90878.13,1
195,161061,15591550,Hsueh,584.0,France,Male,36.0,3,0.0,2,1,1,151925.66,0
196,163243,15796480,Saunders,651.0,France,Female,31.0,8,0.0,2,1,0,131768.98,0
197,102618,15783030,Zetticci,721.0,France,Male,30.0,4,0.0,2,0,1,166476.22,0
198,6589,15697989,Shih,632.0,France,Male,41.0,5,0.0,2,1,1,93832.38,0
199,138559,15756920,H?,684.0,France,Female,29.0,2,80895.44,2,1,0,64945.57,0
200,116583,15692291,K'ung,707.0,Spain,Female,44.0,7,132942.51,2,0,0,107622.87,0
201,64667,15683955,Nnamdi,581.0,France,Male,30.0,8,0.0,1,1,0,163798.41,0
202,80223,15642709,Aksenov,697.0,France,Male,36.0,5,0.0,2,1,1,152797.82,0
203,107023,15594576,Nwankwo,619.0,France,Male,39.0,3,0.0,2,1,0,149537.97,0
204,126974,15716155,T'ien,686.0,France,Male,39.0,6,0.0,2,1,1,180949.73,0
205,73680,15724563,Manna,651.0,Germany,Male,31.0,1,111833.47,2,0,0,51340.24,0
206,81598,15675501,Nucci,712.0,France,Female,32.0,3,0.0,2,0,0,126551.25,0
207,20208,15791700,Ugochukwutubelum,773.0,Germany,Male,47.0,8,118079.47,4,1,1,143007.49,0
208,158061,15775192,Chukwumaobim,652.0,France,Male,67.0,9,0.0,2,0,1,67552.71,0
209,44576,15767339,Rizzo,592.0,Spain,Male,42.0,1,0.0,2,0,1,94488.62,0
210,102660,15621868,T'ang,756.0,Spain,Male,42.0,2,0.0,2,1,0,179566.93,0
211,61780,15708048,Burn,652.0,Germany,Female,34.0,1,124379.14,1,0,0,106892.91,1
212,51263,15683053,Reyna,809.0,Spain,Female,48.0,2,0.0,1,1,1,160976.85,0
213,50344,15592716,Onwubiko,619.0,Spain,Male,31.0,8,0.0,1,1,1,92910.9,0
214,148093,15721383,Ozerova,536.0,France,Male,50.0,5,0.0,1,1,0,69578.34,1
215,116077,15574830,Townsley,633.0,Germany,Male,58.0,2,128137.42,2,1,0,147636.46,1
216,64139,15794895,Goliwe,682.0,Germany,Male,35.0,8,123894.43,1,0,0,48382.4,0
217,33887,15694530,Porter,672.0,France,Male,28.0,4,167268.98,1,1,1,169469.3,1
218,120510,15807961,Bruno,604.0,France,Male,24.0,2,0.0,1,1,1,145524.36,0
219,106787,15660200,Mai,489.0,France,Male,31.0,1,0.0,2,1,1,185105.44,0
220,31403,15584580,Nwachinemelu,741.0,France,Male,37.0,3,0.0,2,1,1,124906.62,0
221,46900,15693326,Ts'ao,597.0,France,Male,46.0,8,0.0,3,0,0,163989.66,1
222,63079,15670354,Tretiakova,724.0,Germany,Male,37.0,4,145531.5,1,0,0,97976.06,0
223,46185,15661708,Nwachukwu,545.0,Germany,Female,48.0,9,121542.57,1,1,0,91947.74,1
224,92308,15622985,Yermakova,599.0,Germany,Male,35.0,1,101060.25,1,1,1,126142.93,0
225,94256,15771270,North,637.0,Spain,Female,38.0,4,127471.56,2,1,1,152916.05,0
226,8694,15639252,Ritchie,603.0,France,Male,32.0,4,0.0,2,1,0,198894.42,0
227,26385,15699450,Yuryeva,556.0,France,Male,51.0,1,0.0,1,1,0,74833.0,0
228,117794,15737025,Clements,635.0,Spain,Male,33.0,1,0.0,2,1,0,178067.33,0
229,9339,15802390,K?,678.0,France,Female,60.0,1,0.0,1,1,0,143619.52,1
230,77805,15677571,Lucchese,679.0,Spain,Male,38.0,2,0.0,2,0,1,79259.79,0
231,137182,15584320,Chidubem,608.0,France,Female,42.0,6,167864.82,2,1,0,143421.71,0
232,3802,15602479,Biryukov,679.0,France,Male,32.0,9,0.0,2,1,0,168034.9,0
233,22698,15721207,Piazza,625.0,Germany,Male,42.0,6,100047.33,2,1,1,93429.95,0
234,136942,15638267,T'ang,584.0,France,Female,36.0,6,185513.66,2,1,1,158264.62,0
235,98969,15801247,Onwuamaeze,591.0,Spain,Male,36.0,8,0.0,2,0,0,92621.9,0
236,99796,15756743,Lombardo,684.0,France,Female,43.0,6,0.0,2,1,1,16081.62,1
237,115463,15578369,Chiedozie,652.0,Germany,Female,37.0,1,145219.3,1,1,0,159132.83,1
238,14877,15645511,Chukwudi,631.0,Spain,Male,43.0,2,97403.18,1,1,1,107415.02,1
239,158295,15671409,H?,577.0,France,Female,46.0,4,0.0,1,1,0,107640.02,1
240,103493,15622033,Maclean,681.0,France,Female,36.0,8,123328.2,1,0,0,133020.07,0
241,47254,15799031,Ayers,623.0,France,Male,39.0,3,0.0,2,1,0,6726.53,0
242,18660,15576725,Ting,624.0,France,Male,38.0,8,0.0,1,1,0,121081.48,0
243,74563,15595592,Lai,708.0,France,Female,59.0,2,0.0,1,1,0,179673.11,0
244,8442,15601659,Nebechukwu,628.0,France,Female,42.0,7,133800.98,1,1,1,162699.7,0
245,60968,15589793,Mazzi,589.0,France,Male,34.0,2,0.0,2,1,0,129870.93,0
246,97124,15774882,Tretiakova,600.0,Germany,Female,23.0,5,107764.75,1,1,0,136365.0,1
247,60103,15770554,Watson,749.0,France,Male,31.0,4,188241.05,1,0,1,73470.98,0
248,34547,15588928,Lo Duca,655.0,France,Male,36.0,5,0.0,1,0,0,161677.66,0
249,42716,15737047,Tsai,667.0,Germany,Male,52.0,1,133658.24,1,0,1,120853.83,1
250,45038,15798895,Tsao,657.0,Spain,Female,43.0,3,0.0,1,1,0,97939.4,1
251,153385,15656471,Grosse,710.0,France,Male,53.0,9,0.0,1,0,0,160838.56,1
252,51252,15778089,Hsing,669.0,Spain,Male,41.0,2,0.0,1,1,1,79866.1,0
253,125689,15751297,Ritchie,705.0,France,Female,42.0,9,0.0,1,0,0,141428.98,1
254,92865,15701687,Tseng,715.0,France,Male,24.0,4,0.0,2,1,1,170138.67,0
255,3891,15697574,Teng,704.0,France,Male,43.0,2,0.0,2,0,1,148887.44,0
256,15252,15740104,Munro,425.0,Spain,Female,22.0,2,169649.73,2,0,1,136365.0,1
257,90607,15718773,Pisano,538.0,France,Female,32.0,0,0.0,2,0,0,160129.99,0
258,12,15717962,Rossi,759.0,Spain,Male,71.0,9,0.0,1,1,1,93081.87,0
259,57258,15578908,Ugochukwutubelum,703.0,France,Male,40.0,3,0.0,2,1,1,106785.5,0
260,5630,15570908,Nwachinemelu,661.0,Spain,Male,42.0,5,0.0,2,0,0,35321.63,0
261,57474,15594436,Lucciano,646.0,Germany,Female,44.0,3,127845.69,1,1,0,43496.36,1
262,136241,15605835,Lo Duca,707.0,Spain,Male,39.0,4,0.0,2,1,0,157563.14,0
263,122584,15643818,Genovese,819.0,Spain,Male,35.0,3,0.0,2,1,0,91347.92,0
264,41147,15611287,Yost,670.0,Germany,Male,29.0,8,127475.24,1,0,0,7955.46,1
265,97159,15592386,Onuoha,711.0,Spain,Female,32.0,1,84496.71,2,0,1,136910.18,0
266,124075,15806486,Manna,637.0,France,Male,37.0,2,0.0,2,1,1,140760.22,0
267,120260,15682757,Pardey,623.0,France,Male,44.0,7,0.0,2,0,0,107640.25,1
268,51254,15674832,Nucci,587.0,Germany,Male,39.0,9,129289.28,1,0,0,181758.76,0
269,105041,15741723,Chinedum,645.0,Germany,Male,56.0,5,127772.57,1,1,1,143096.06,1
270,77378,15576680,Stevenson,554.0,France,Male,29.0,4,0.0,1,0,0,51705.01,0
271,101333,15772231,Chiemenam,592.0,Spain,Male,32.0,7,132953.92,2,1,0,169653.52,0
272,49839,15616126,P'eng,727.0,France,Female,35.0,1,0.0,2,1,0,61324.11,0
273,119294,15777873,Hsieh,679.0,France,Male,29.0,4,0.0,1,1,1,138700.75,0
274,150053,15608845,Yashina,669.0,Spain,Male,37.0,7,0.0,2,1,1,667.66,0
275,90772,15604882,Ts'ui,660.0,Spain,Male,25.0,6,0.0,2,1,0,117048.82,0
276,146519,15717705,O'Loghlen,611.0,Spain,Male,36.0,3,0.0,2,0,1,84722.25,0
277,147675,15691723,Chukwudi,531.0,Spain,Female,33.0,9,91611.12,2,1,0,135784.94,0
278,66716,15700223,Nwokeocha,773.0,France,Female,50.0,5,91291.1,1,0,1,91561.58,1
279,123362,15782121,Leonard,610.0,France,Female,38.0,2,0.0,2,1,0,14546.76,0
280,159938,15721592,Ch'iu,686.0,Germany,Male,41.0,3,106521.49,1,1,0,148098.95,0
281,55549,15806901,Iadanza,635.0,Spain,Male,40.0,5,0.0,2,1,1,103921.43,0
282,44455,15687946,Miah,644.0,Spain,Male,36.0,0,0.0,2,1,1,105732.9,0
283,71994,15591740,Ch'in,668.0,France,Male,34.0,5,121801.72,1,1,0,71738.56,0
284,145389,15587913,Fanucci,669.0,Germany,Female,28.0,9,91857.98,2,1,1,86546.02,0
285,125674,15651352,Genovese,578.0,France,Female,55.0,6,0.0,1,1,0,171519.06,1
286,152022,15646566,Nwachinemelu,663.0,Germany,Male,36.0,5,108862.76,1,1,1,76622.52,0
287,66529,15615125,O'Connor,683.0,France,Male,41.0,10,0.0,2,1,1,121404.52,0
